log,variant,discovery_time,fitness_time,precision_time,generalization_time,simplicity_time,perc_fit_traces,average_trace_fitness,log_fitness,precision,generalization,simplicity
pdc_2020_1201100,IMf,2.29054594039917,10.073075532913208,186.8144888877869,10.796732664108276,0.0002481937408447,9.4,0.9394341362211088,0.9438543429512324,0.2091403429750178,0.9294574719387192,0.6079734219269104
pdc_2020_1201100,IMd,0.0691566467285156,5.6759727001190186,63.5613865852356,5.625565528869629,0.0001537799835205,1.1,0.9490670056565892,0.9463911325687652,0.1575549461860882,0.9598232113034988,0.5448275862068965
pdc_2020_1201100,HM,0.157254934310913,10.009982824325562,29.214452266693115,10.012673616409302,0.0002155303955078,0.0,0.9260713608127944,0.932711642339408,0.8912930135557873,0.7889915592057118,0.5103244837758113
pdc_2020_1201100,AM,0.0406274795532226,2.476090908050537,13.25455355644226,2.458583116531372,0.0001568794250488,0.0,0.2176981350530297,0.2033237232026932,0.4571871367686942,0.9676952118504912,0.8461538461538463
pdc_2020_1201101,IM,1.6756274700164795,9.291484355926514,1821.461092710495,9.282978773117064,0.0003225803375244,97.1,0.9998928994877956,0.9998758194843512,0.0805425732450643,0.9334761235636128,0.6179775280898876
pdc_2020_1201101,IMf,2.547764539718628,10.729614973068236,194.8409109115601,10.726824283599854,0.0002708435058593,9.4,0.9394341362211088,0.9438543429512324,0.2090845571670182,0.9294574719387192,0.6079734219269104
pdc_2020_1201101,IMd,0.0815503597259521,5.809062242507935,65.37065124511719,5.306758403778076,0.0001537799835205,1.1,0.9490670056565892,0.9463911325687652,0.1575679214672189,0.9598232113034988,0.5448275862068965
pdc_2020_1201101,HM,0.1548845767974853,9.618737936019896,28.89016366004944,9.9478919506073,0.0001945495605468,0.0,0.9256868822635466,0.9324223716323554,0.8936894474993454,0.7950860617664102,0.5074183976261127
pdc_2020_1201101,AM,0.0414283275604248,2.475418329238892,12.567050218582152,2.5137734413146973,0.0001544952392578,0.0,0.2176981350530297,0.2033237232026932,0.4571871367686942,0.9676952118504912,0.8461538461538463
pdc_2020_1201110,IM,2.283215284347534,4.650133848190308,235.9859235286713,4.616448640823364,0.0001606941223144,100.0,1.0,1.0,0.0850438142104809,0.9069282157110812,0.559748427672956
pdc_2020_1201110,IMf,5.446390390396118,10.38286066055298,239.55870056152344,10.488864421844482,0.0002360343933105,10.8,0.9621026189538412,0.9647683430958216,0.165718179061332,0.9562100667285682,0.6121673003802282
pdc_2020_1201110,IMd,0.0704221725463867,3.6231918334960938,109.7719419002533,3.563127040863037,0.0001254081726074,100.0,1.0,1.0,0.0847951533668509,0.9465298624335252,0.4857142857142857
pdc_2020_1201110,HM,0.1439380645751953,13.833301544189451,24.57637023925781,13.632447004318236,0.0002338886260986,0.0,0.87369727481601,0.8860738154183228,0.959007299270073,0.8035989804413545,0.4816625916870415
pdc_2020_1201110,AM,0.0412838459014892,2.684248447418213,12.544793844223022,2.144747257232666,0.0001184940338134,0.0,0.156176898107457,0.1407199573167372,0.562076749435666,0.9688112178573338,0.7948717948717947
pdc_2020_1201111,IM,2.317906618118286,4.650657653808594,291.0624132156372,4.694586277008057,0.0001859664916992,100.0,1.0,1.0,0.0848013576820778,0.9069282157110812,0.559748427672956
pdc_2020_1201111,IMf,5.1667773723602295,10.893312931060793,234.4785373210907,11.039000034332275,0.0002510547637939,10.8,0.9622255833483088,0.9649057408134862,0.1568857334270167,0.9561892359911957,0.6121673003802282
pdc_2020_1201111,IMd,0.0783371925354003,3.6973719596862793,110.08341884613036,3.5398929119110107,0.000124454498291,100.0,1.0,1.0,0.0847951533668509,0.9465298624335252,0.4857142857142857
pdc_2020_1201111,HM,0.1563801765441894,18.51550984382629,23.789656400680546,18.750062465667725,0.0002357959747314,0.0,0.8666728401379599,0.8784142616648976,0.959007299270073,0.7975538822097006,0.4776119402985074
pdc_2020_1201111,AM,0.0376389026641845,2.159144878387451,10.627115726470947,2.32696795463562,0.0001430511474609,0.0,0.156176898107457,0.1407199573167372,0.562076749435666,0.9688112178573338,0.7948717948717947
pdc_2020_1210000,IM,7.866246461868286,3.78081488609314,146.6227433681488,3.674340009689331,0.0001261234283447,100.0,1.0,1.0,0.065714577616907,0.9457706329721794,0.4263565891472868
pdc_2020_1210000,IMf,9.316387414932253,13.542648553848268,246.82945203781128,13.734613180160522,0.0002217292785644,56.5,0.9786937704776816,0.9766859752799096,0.1025497142397336,0.947187869874135,0.5699658703071673
pdc_2020_1210000,IMd,0.0854692459106445,3.774173021316528,142.03969812393188,3.784488677978516,0.0001306533813476,34.1,0.9863386185650248,0.9902867204315684,0.0685844510138916,0.9445278723598092,0.4328358208955224
pdc_2020_1210000,HM,0.1592953205108642,4.520850419998169,60.20871329307556,4.52113676071167,0.0001857280731201,36.4,0.9826615961505876,0.9864895137895048,0.8279259309016815,0.7776996688913211,0.6228070175438596
pdc_2020_1210000,AM,0.0488066673278808,3.937492609024048,13.14159607887268,4.19060206413269,0.0001914501190185,0.0,0.3526988994132527,0.3477060595791637,0.4250141482739106,0.963319646796755,0.289655172413793
pdc_2020_1210001,IM,7.553062677383423,3.635301113128662,147.3421492576599,3.746317625045776,0.0001246929168701,100.0,1.0,1.0,0.065714577616907,0.9457706329721794,0.4263565891472868
pdc_2020_1210001,IMf,9.122678995132446,13.439207553863524,252.5201480388641,13.050702810287476,0.0002293586730957,56.5,0.9786937704776816,0.9766859752799096,0.1021848406386262,0.947187869874135,0.5699658703071673
pdc_2020_1210001,IMd,0.0926089286804199,3.784388065338135,140.79970788955688,3.795804023742676,0.0001275539398193,34.1,0.9863386185650248,0.9902867204315684,0.0685844510138916,0.9445278723598092,0.4328358208955224
pdc_2020_1210001,HM,0.1592392921447754,4.679133415222168,61.31855916976929,4.382008790969849,0.0001928806304931,36.4,0.9826615961505876,0.9864895137895048,0.8279259309016815,0.7776996688913211,0.6228070175438596
pdc_2020_1210001,AM,0.0504984855651855,4.35603404045105,15.744309186935425,4.908549308776856,0.0002202987670898,0.0,0.3526988994132527,0.3477060595791637,0.4250141482739106,0.963319646796755,0.289655172413793
pdc_2020_1210010,IM,5.629562139511108,3.3572800159454346,120.49322867393494,3.358805656433105,0.0001246929168701,100.0,1.0,1.0,0.0738680486474344,0.944236164502154,0.4358974358974359
pdc_2020_1210010,IMf,9.12792944908142,10.545769929885864,134.6956911087036,10.570796489715576,0.0002024173736572,51.0,0.9775016141642916,0.975034239400577,0.1190566140615992,0.911051614430808,0.5622317596566523
pdc_2020_1210010,IMd,0.1037981510162353,3.967940807342529,173.11659407615662,3.7342607975006095,0.0001430511474609,99.7,0.999911375834624,0.9999621756562472,0.0728881970857705,0.9156753339505944,0.4834437086092715
pdc_2020_1210010,HM,0.1573326587677002,4.566145181655884,52.99714112281799,4.774367332458496,0.0002012252807617,17.3,0.9699175487898192,0.9769438208332102,0.674461716713334,0.7710591764106359,0.5742971887550201
pdc_2020_1210010,AM,0.0505304336547851,4.239353656768799,14.925243854522703,4.524940967559815,0.0002315044403076,0.0,0.3470863705916242,0.3949749491947115,0.5932281393819856,0.9635446943763604,0.3217391304347826
pdc_2020_1210011,IM,5.716158628463745,3.214219093322754,117.674733877182,3.4788191318511963,0.0001299381256103,100.0,1.0,1.0,0.0738680486474344,0.944236164502154,0.4358974358974359
pdc_2020_1210011,IMf,9.00886058807373,11.512030363082886,141.7981550693512,11.151615142822266,0.0001921653747558,51.0,0.9775016141642916,0.975034239400577,0.1068626812714637,0.911051614430808,0.5622317596566523
pdc_2020_1210011,IMd,0.0971167087554931,3.970155715942383,136.01950764656067,4.036862850189209,0.0001492500305175,99.7,0.999911375834624,0.9999621756562472,0.0771373543947918,0.9156753339505944,0.4834437086092715
pdc_2020_1210011,HM,0.1463494300842285,4.355607032775879,51.44043302536011,4.515922546386719,0.0001962184906005,17.3,0.9699175487898192,0.9769438208332102,0.674461716713334,0.7710591764106359,0.5742971887550201
pdc_2020_1210011,AM,0.0543627738952636,4.525463581085205,14.268738985061646,4.55772876739502,0.0002298355102539,0.0,0.3470863705916242,0.3949749491947115,0.5932281393819856,0.9635446943763604,0.3217391304347826
pdc_2020_1210100,IM,7.147208690643311,2.9974794387817383,108.76702451705933,3.2346677780151367,0.0001261234283447,100.0,1.0,1.0,0.0659153511697423,0.9430898324657278,0.4263565891472868
pdc_2020_1210100,IMf,13.514050483703612,4.681046485900879,206.74435901641849,4.764379262924194,0.0001783370971679,100.0,1.0,1.0,0.0668312686655412,0.9344198407326908,0.5219512195121951
pdc_2020_1210100,IMd,0.0881311893463134,3.4296109676361084,128.5249445438385,3.326936721801758,0.0001325607299804,100.0,1.0,1.0,0.0647162798030512,0.9280044656592202,0.4444444444444444
pdc_2020_1210100,HM,0.1577486991882324,5.956525087356567,29.65081477165222,5.805741310119629,0.0002193450927734,0.3,0.9294539899629995,0.9441449173424756,0.6898452902061684,0.7395492472701697,0.5616438356164384
pdc_2020_1210100,AM,0.0615713596343994,4.343340396881104,15.18437886238098,4.537394285202026,0.0002484321594238,0.0,0.421632376309863,0.4555890476418961,0.4326525575368668,0.9600734508613736,0.2625368731563421
pdc_2020_1210101,IM,7.311614274978638,3.254603385925293,112.45550608634947,3.2119054794311523,0.0001249313354492,100.0,1.0,1.0,0.0659153511697423,0.9430898324657278,0.4263565891472868
pdc_2020_1210101,IMf,13.032966375350952,4.44134783744812,209.3431370258332,4.7215235233306885,0.0001859664916992,100.0,1.0,1.0,0.0669270516451415,0.9344198407326908,0.5219512195121951
pdc_2020_1210101,IMd,0.1042346954345703,3.414092302322388,127.51521968841551,3.4459116458892822,0.0001602172851562,100.0,1.0,1.0,0.0647162798030512,0.9280044656592202,0.4444444444444444
pdc_2020_1210101,HM,0.1557440757751464,6.268494367599487,29.458850383758545,6.20738673210144,0.0002117156982421,0.3,0.9311386982050976,0.9445064068126708,0.7057820169178821,0.7310683887523676,0.5622895622895623
pdc_2020_1210101,AM,0.0576019287109375,4.333629846572876,13.681990146636965,4.254823446273804,0.0002450942993164,0.0,0.421632376309863,0.4555890476418961,0.4326525575368668,0.9600734508613736,0.2625368731563421
pdc_2020_1210110,IM,6.093758821487427,3.234582901000977,118.56398463249208,3.402923583984375,0.0001299381256103,100.0,1.0,1.0,0.0702944775430783,0.9441191867184698,0.4358974358974359
pdc_2020_1210110,IMf,10.204110383987429,11.836543560028076,267.6541087627411,11.329737901687622,0.0001919269561767,29.0,0.9766702271185952,0.9834925431053974,0.108604138415461,0.9665824830697988,0.5660377358490566
pdc_2020_1210110,IMd,0.0949800014495849,4.177672624588013,62.79221510887146,4.152533292770386,0.0001418590545654,40.0,0.9904975149253842,0.9897182293286254,0.1188945850245452,0.9315581348521074,0.4967741935483871
pdc_2020_1210110,HM,0.1559607982635498,8.031694173812866,30.19495820999145,7.977024078369141,0.0002167224884033,0.0,0.8983740727849117,0.9175523759347928,0.7837212828872545,0.7446026076732297,0.5506329113924051
pdc_2020_1210110,AM,0.0497882366180419,3.592179536819458,16.630072116851807,3.736435651779175,0.0002026557922363,0.0,0.3546278566589645,0.3693689215838546,0.5197901516725535,0.9634362639538224,0.4306569343065693
pdc_2020_1210111,IM,5.853333950042725,3.33023452758789,117.92106747627258,3.139270067214966,0.0001139640808105,100.0,1.0,1.0,0.0702944775430783,0.9441191867184698,0.4358974358974359
pdc_2020_1210111,IMf,9.72458291053772,11.942212104797363,262.708279132843,12.063360214233398,0.0002233982086181,29.0,0.9765446335849468,0.9833570851097158,0.108604138415461,0.966647936950466,0.5660377358490566
pdc_2020_1210111,IMd,0.0959134101867675,4.308664560317993,65.70952844619751,4.466909408569336,0.0001859664916992,40.0,0.9904975149253842,0.9897182293286254,0.1188945850245452,0.9315581348521074,0.4967741935483871
pdc_2020_1210111,HM,0.1576981544494629,7.887254476547241,30.39865207672119,7.903942823410034,0.0002326965332031,0.0,0.8981478500694998,0.9174820549644904,0.7839108347865645,0.7380874194587517,0.5514018691588785
pdc_2020_1210111,AM,0.0530965328216552,3.718933343887329,16.3019061088562,3.801744222640991,0.0002036094665527,0.0,0.3546278566589645,0.3693689215838546,0.5197901516725535,0.9634362639538224,0.4306569343065693
pdc_2020_1211000,IM,3.16390347480774,3.331259250640869,119.7080705165863,3.1188268661499023,0.0001695156097412,100.0,1.0,1.0,0.0989165932004723,0.9467839997054344,0.5294117647058824
pdc_2020_1211000,IMf,2.045680522918701,8.741631746292114,203.934710264206,8.494378805160522,0.0003013610839843,30.6,0.9276169993254544,0.9250119366192766,0.2648952257507021,0.931825275696588,0.6054421768707484
pdc_2020_1211000,IMd,0.0682728290557861,2.5110716819763184,36.42891311645508,2.6813974380493164,0.0001535415649414,32.6,0.9633135279423174,0.9609702355346132,0.1537226629344968,0.9394669854214016,0.4901960784313725
pdc_2020_1211000,HM,0.122737169265747,3.6001086235046387,33.33178448677063,3.884934663772583,0.0001857280731201,34.3,0.9787584403173644,0.982921000598162,0.69366059180874,0.7707520161734376,0.5663716814159292
pdc_2020_1211000,AM,0.0406465530395507,2.379925012588501,9.600857734680176,2.11629581451416,0.0001578330993652,0.0,0.2314635093094483,0.1979100598725411,0.6006799163179917,0.9647512619561632,0.7358490566037735
pdc_2020_1211001,IM,3.085390090942383,3.2942445278167725,124.04220962524414,3.269008159637451,0.0001602172851562,100.0,1.0,1.0,0.1007621061948428,0.9467839997054344,0.5294117647058824
pdc_2020_1211001,IMf,1.8449931144714355,9.600647687911987,224.3886821269989,9.88354516029358,0.0003113746643066,30.6,0.9276169993254544,0.9250119366192766,0.2649189251461651,0.931825275696588,0.6054421768707484
pdc_2020_1211001,IMd,0.0647327899932861,2.7053682804107666,36.335572719573975,2.6231815814971924,0.000133991241455,32.6,0.9633135279423174,0.9609702355346132,0.1537226629344968,0.9394669854214016,0.4901960784313725
pdc_2020_1211001,HM,0.1224808692932128,3.509572744369507,33.71867060661316,3.741384029388428,0.0001885890960693,34.3,0.9787584403173644,0.982921000598162,0.69366059180874,0.7707520161734376,0.5663716814159292
pdc_2020_1211001,AM,0.0366990566253662,2.190309524536133,9.270666122436523,2.2677016258239746,0.0001680850982666,0.0,0.2314635093094483,0.1979100598725411,0.6006799163179917,0.9647512619561632,0.7358490566037735
pdc_2020_1211010,IM,1.9078054428100584,2.868215322494507,92.3136270046234,2.9571635723114014,0.000171422958374,100.0,1.0,1.0,0.1073505186768175,0.943559888928439,0.494949494949495
pdc_2020_1211010,IMf,4.50402045249939,3.3159255981445312,82.73628282546997,3.4106390476226807,0.00016450881958,39.8,0.9831406779467788,0.9902266063436128,0.1301555820647696,0.9671454881430416,0.5304347826086956
pdc_2020_1211010,IMd,0.0679602622985839,2.7132318019866943,107.02190279960632,2.658536672592163,0.0001511573791503,100.0,1.0,1.0,0.1058487832716311,0.9396679777711848,0.4857142857142857
pdc_2020_1211010,HM,0.1210505962371826,4.080420970916748,33.607802867889404,4.200419187545776,0.0001585483551025,23.8,0.9697331449472614,0.9708462502631984,0.7219978152071742,0.8037263079530903,0.5584415584415584
pdc_2020_1211010,AM,0.0390329360961914,2.134525775909424,8.956364393234253,2.166656494140625,0.0001535415649414,0.0,0.2048553011608637,0.1257509352702328,0.6097942073170732,0.965832384404502,0.9333333333333332
